id,projectId,spaceId,name,info,capacity,startAt,endAt,rrule
1,9,3,Secured context-sensitive paradigm,"Defense church rock news. Save stuff energy. Can century win among.
Floor other should. Job budget wear direction central. Final who loss improve. His team by certain TV special close cell.",85,2024-06-22T20:42:11.020174,2024-07-28T20:42:11.020194,"{""freq"": ""weekly"", ""interval"": 1, ""byday"": [""MO"", ""WE""]}"
2,3,4,Ergonomic 5thgeneration software,"Certainly else stage year water travel. Case his full mention lose message together.
Environment your room material buy. Main thousand over product. Hard class change want people respond system lay.",17,2024-06-28T20:42:11.020412,2024-07-20T20:42:11.020420,"{""freq"": ""weekly"", ""interval"": 1, ""byday"": [""MO"", ""TU""]}"
3,3,1,Optional background approach,"Air plan over painting view. Author themselves us.
Scene number hear himself know. Although building hospital fear sense better key inside.",71,2024-06-24T20:42:11.020547,2024-07-06T20:42:11.020552,"{""freq"": ""weekly"", ""interval"": 1, ""byday"": [""FR""]}"
4,6,4,Implemented 6thgeneration methodology,"Skill identify need real scene which leg. Generation executive admit Congress.
Discover difficult third customer lay market claim boy. Sound pretty almost do respond item material.",11,2024-06-24T20:42:11.020649,2024-07-27T20:42:11.020659,"{""freq"": ""weekly"", ""interval"": 1, ""byday"": [""WE"", ""MO""]}"
5,3,2,Configurable content-based software,"Green use image them well beyond. Meet five attorney attorney election institution work.
Head catch parent. Four already address camera American professor.",45,2024-06-17T20:42:11.020771,2024-07-15T20:42:11.020775,"{""freq"": ""weekly"", ""interval"": 1, ""byday"": [""WE"", ""TU""]}"
6,7,3,Visionary optimal Internet solution,"Budget her image area audience. Yourself follow any raise close marriage.
Side build benefit fine your source. Bit apply simply member.",72,2024-06-13T20:42:11.020892,2024-07-19T20:42:11.020897,"{""freq"": ""weekly"", ""interval"": 1, ""byday"": [""MO""]}"
7,4,3,Phased disintermediate infrastructure,"Page just color. Investment popular free different group. Eat no Mr front win want much.
Involve tell person whose. Ask begin democratic yet.
Professional finish door.",25,2024-06-13T20:42:11.021018,2024-07-18T20:42:11.021023,"{""freq"": ""weekly"", ""interval"": 1, ""byday"": [""TH"", ""FR"", ""WE""]}"
8,6,4,Horizontal well-modulated standardization,"Site because through visit participant arrive. Thing want themselves price say.
Clear use history back upon hope never. Some our despite between worker southern. Career word finally method mind.",94,2024-06-27T20:42:11.021127,2024-07-09T20:42:11.021132,"{""freq"": ""weekly"", ""interval"": 1, ""byday"": [""WE"", ""FR""]}"
9,2,2,Horizontal multi-state structure,"Perhaps about small model most several.
Owner natural look. While maybe plan include early even figure.",10,2024-06-03T20:42:11.021218,2024-07-25T20:42:11.021225,"{""freq"": ""weekly"", ""interval"": 1, ""byday"": [""TU"", ""FR""]}"
10,6,4,Operative explicit framework,"Mother beyond company fill improve heart whom. Tough build fine market positive early.
Away beyond single.
Shake someone total least run spend. Which we today general in development per.",93,2024-06-05T20:42:11.021345,2024-07-07T20:42:11.021350,"{""freq"": ""weekly"", ""interval"": 1, ""byday"": [""WE"", ""TH"", ""MO""]}"
11,7,1,Right-sized logistical forecast,At operation gas apply director. Mouth poor boy standard stay left. Choice water admit learn account tree Mrs.,71,2024-06-17T20:42:11.021693,2024-07-10T20:42:11.021702,
12,8,3,Switchable object-oriented productivity,Trouble lay rule say house floor few. Person area start player professional half. Weight space year able leave later interesting crime.,79,2024-06-03T20:42:11.021777,2024-07-05T20:42:11.021782,
13,1,3,Enhanced interactive toolset,"Lot purpose student building player six exactly position. Skill treatment leave TV.
Go long exactly require. Well different play senior western seven. Us while those positive plant choose.",75,2024-06-16T20:42:11.021852,2024-07-29T20:42:11.021855,
14,3,1,Vision-oriented optimizing architecture,"Sure high actually room.
Well central high land. Community him reduce finish top. Friend over people remain benefit main author hard.
Mr any standard though. Cup word you hour phone care note.",96,2024-06-15T20:42:11.021936,2024-07-28T20:42:11.021943,
15,7,3,Integrated regional toolset,"Mother kitchen job between whose be. Sort window threat place dark.
Mean ever success to lawyer return. Model can conference candidate middle.",95,2024-06-03T20:42:11.022008,2024-07-17T20:42:11.022015,
16,3,3,Operative 5thgeneration strategy,Check base statement break like. Imagine figure inside commercial prevent. Would almost kitchen whose practice lead. Unit artist ask force wind.,72,2024-06-08T20:42:11.022093,2024-07-09T20:42:11.022097,
17,4,4,Inverse foreground installation,Structure someone concern box finally stop. Executive close left agent music choice role.,19,2024-06-15T20:42:11.022149,2024-07-07T20:42:11.022155,
18,8,3,Front-line bifurcated Graphic Interface,"Whose remain sing stock else think recent.
Center book compare its over list continue event. Ahead state paper pattern.",29,2024-06-03T20:42:11.022226,2024-07-22T20:42:11.022231,
19,1,2,Devolved 3rdgeneration framework,"Price or information move agent my end. Account person ago rise.
Very win he around father move mouth. Mind west Democrat become already west.",74,2024-06-17T20:42:11.022311,2024-07-13T20:42:11.022316,
20,10,1,Ameliorated web-enabled flexibility,"Single operation huge age blue believe meeting. Ready old reach than staff follow.
Church right call treat. Be network purpose relationship may. Care sense describe.",15,2024-06-09T20:42:11.022398,2024-07-25T20:42:11.022403,
